tag	i	q	k	actual
gamma	294	0.075755	280.065	195
gamma	295	0.077475	285.890	149
gamma	296	0.078870	290.598	130
gamma	297	0.080230	295.173	142
gamma	298	0.081750	300.268	162
gamma	299	0.083705	306.794	229
gamma	300	0.085920	314.151	214
gamma	301	0.088025	321.106	207
gamma	302	0.089450	325.795	78
gamma	303	0.090160	328.125	64
gamma	304	0.091175	331.448	139
gamma	305	0.092335	335.237	93
gamma	306	0.093280	338.315	96
gamma	307	0.094200	341.305	88
gamma	308	0.095645	345.988	201
gamma	309	0.097955	353.439	261
gamma	310	0.100080	360.256	164
gamma	311	0.101750	365.588	170
gamma	312	0.103690	371.754	218
gamma	313	0.105765	378.315	197
gamma	314	0.107780	384.654	206
gamma	315	0.109965	391.491	231
gamma	316	0.111915	397.560	159
gamma	317	0.113495	402.456	157
gamma	318	0.114935	406.900	131
gamma	319	0.116650	412.171	212
gamma	320	0.119225	420.042	303
gamma	321	0.121610	427.284	174
gamma	322	0.123490	432.961	202
gamma	323	0.125720	439.658	244
gamma	324	0.128375	447.579	287
gamma	325	0.131295	456.226	297
gamma	326	0.134420	465.405	328
gamma	327	0.137675	474.882	323
gamma	328	0.140575	483.255	257
gamma	329	0.143235	490.875	275
gamma	330	0.146245	499.430	327
gamma	331	0.148875	506.845	199
gamma	332	0.152225	516.210	471
gamma	333	0.156655	528.457	415
gamma	334	0.159725	536.852	199
gamma	335	0.162255	543.713	307
gamma	336	0.165300	551.904	302
gamma	337	0.167705	558.320	179
gamma	338	0.169685	563.568	217
gamma	339	0.171985	569.625	243
gamma	340	0.175070	577.682	374
gamma	341	0.178840	587.425	380
gamma	342	0.182345	596.381	321
gamma	343	0.185875	605.302	385
gamma	344	0.189760	615.005	392
gamma	345	0.192825	622.574	221
gamma	346	0.195110	628.168	236
gamma	347	0.197430	633.806	228
gamma	348	0.200340	640.816	354
gamma	349	0.203945	649.406	367
gamma	350	0.208325	659.703	509
gamma	351	0.212500	669.375	326
gamma	352	0.216010	677.399	376
gamma	353	0.219235	684.684	269
gamma	354	0.222065	691.009	297
gamma	355	0.225200	697.940	330
gamma	356	0.228935	706.095	417
gamma	357	0.233445	715.794	485
gamma	358	0.238655	726.795	557
gamma	359	0.244075	738.010	527
gamma	360	0.250200	750.400	698
gamma	361	0.255655	761.182	393
gamma	362	0.258690	767.078	214
gamma	363	0.260695	770.932	187
gamma	364	0.263840	776.914	442
gamma	365	0.267190	783.198	228
gamma	366	0.270825	789.915	499
gamma	367	0.275045	797.581	345
gamma	368	0.279010	804.654	448
gamma	369	0.283685	812.831	487
gamma	370	0.288410	820.919	458
gamma	371	0.292625	827.982	385
gamma	372	0.297635	836.194	617
gamma	373	0.302135	843.398	283
gamma	374	0.304910	847.760	272
gamma	375	0.307570	851.883	260
gamma	376	0.310170	855.858	260
gamma	377	0.312785	859.802	263
gamma	378	0.315295	863.536	239
gamma	379	0.320250	870.760	752
gamma	380	0.326090	879.021	416
gamma	381	0.329290	883.432	224
gamma	382	0.331910	886.983	300
gamma	383	0.335455	891.700	409
gamma	384	0.339475	896.927	395
gamma	385	0.343365	901.862	383
gamma	386	0.346880	906.217	320
gamma	387	0.349670	909.604	238
gamma	388	0.351895	912.260	207
gamma	389	0.354995	915.894	413
gamma	390	0.360040	921.645	596
gamma	391	0.366845	929.079	765
gamma	392	0.372415	934.888	349
gamma	393	0.377075	939.558	583
gamma	394	0.381990	944.295	400
gamma	395	0.386355	948.339	473
gamma	396	0.391310	952.746	518
gamma	397	0.396265	956.956	473
gamma	398	0.401095	960.871	493
gamma	399	0.405735	964.456	435
gamma	400	0.410300	967.816	478
gamma	401	0.414685	970.885	399
gamma	402	0.420175	974.512	699
gamma	403	0.427340	978.882	734
gamma	404	0.432175	981.599	233
gamma	405	0.437370	984.310	806
gamma	406	0.444075	987.490	535
gamma	407	0.448525	989.401	355
gamma	408	0.452060	990.807	352
gamma	409	0.455025	991.909	241
gamma	410	0.457090	992.635	172
gamma	411	0.462105	994.256	831
gamma	412	0.467010	995.647	150
gamma	413	0.469210	996.208	290
gamma	414	0.473485	997.188	565
gamma	415	0.479705	998.352	679
gamma	416	0.485190	999.123	418
gamma	417	0.489605	999.568	465
gamma	418	0.494390	999.874	492
gamma	419	0.499085	999.997	447
gamma	420	0.503445	999.953	425
gamma	421	0.508060	999.740	498
gamma	422	0.512910	999.333	472
gamma	423	0.519625	998.459	871
gamma	424	0.526765	997.135	557
gamma	425	0.533040	995.633	698
gamma	426	0.538080	994.200	310
gamma	427	0.541330	993.167	340
gamma	428	0.545260	991.806	446
gamma	429	0.550240	989.904	550
gamma	430	0.555780	987.554	558
gamma	431	0.561335	984.952	553
gamma	432	0.566930	982.082	566
gamma	433	0.571935	979.301	435
gamma	434	0.576080	976.847	394
gamma	435	0.581520	973.418	694
gamma	436	0.588310	968.805	664
gamma	437	0.593510	965.024	376
gamma	438	0.598615	961.100	645
gamma	439	0.604520	956.302	536
gamma	440	0.610515	951.146	663
gamma	441	0.617145	945.108	663
gamma	442	0.622405	940.068	389
gamma	443	0.626610	935.880	452
gamma	444	0.630895	931.466	405
gamma	445	0.634930	927.176	402
gamma	446	0.640070	921.522	626
gamma	447	0.644650	916.306	290
gamma	448	0.649365	910.760	653
gamma	449	0.654495	904.525	373
gamma	450	0.658285	899.783	385
gamma	451	0.662260	894.687	410
gamma	452	0.666485	889.131	435
gamma	453	0.670965	883.084	461
gamma	454	0.675165	877.269	379
gamma	455	0.678870	872.022	362
gamma	456	0.682405	866.914	345
gamma	457	0.685975	861.653	369
gamma	458	0.689605	856.200	357
gamma	459	0.693310	850.525	384
gamma	460	0.697260	844.354	406
gamma	461	0.701160	838.139	374
gamma	462	0.704455	832.793	285
gamma	463	0.707210	828.256	266
gamma	464	0.709535	824.380	199
gamma	465	0.711630	820.851	220
gamma	466	0.714200	816.473	294
gamma	467	0.717430	810.897	352
gamma	468	0.720980	804.671	358
gamma	469	0.724600	798.219	366
gamma	470	0.728050	791.973	324
gamma	471	0.731325	785.955	331
gamma	472	0.735820	777.556	568
gamma	473	0.740060	769.485	280
gamma	474	0.744325	761.221	573
gamma	475	0.749080	751.837	378
gamma	476	0.753145	743.670	435
gamma	477	0.757135	735.526	363
gamma	478	0.760550	728.455	320
gamma	479	0.763695	721.860	309
gamma	480	0.766145	716.667	181
gamma	481	0.768020	712.661	194
gamma	482	0.769795	708.843	161
gamma	483	0.771305	705.574	141
gamma	484	0.773015	701.851	201
gamma	485	0.775740	695.870	344
gamma	486	0.779070	688.480	322
gamma	487	0.782030	681.836	270
gamma	488	0.786040	672.724	532
gamma	489	0.790115	663.333	283
gamma	490	0.793095	656.381	313
gamma	491	0.796125	649.240	293
gamma	492	0.798615	643.316	205
gamma	493	0.800355	639.147	143
gamma	494	0.801675	635.969	121
gamma	495	0.803445	631.685	233
gamma	496	0.806410	624.452	360
gamma	497	0.810230	615.029	404
gamma	498	0.813275	607.435	205
gamma	499	0.815605	601.574	261
gamma	500	0.818410	594.460	300
gamma	501	0.821465	586.641	311
gamma	502	0.824545	578.682	305
gamma	503	0.827470	571.054	280
gamma	504	0.829780	564.981	182
gamma	505	0.831495	560.444	161
gamma	506	0.833990	553.803	338
gamma	507	0.837905	543.281	445
gamma	508	0.841450	533.648	264
gamma	509	0.843905	526.917	227
gamma	510	0.846135	520.762	219
gamma	511	0.848275	514.818	209
gamma	512	0.850395	508.893	215
gamma	513	0.852950	501.705	296
gamma	514	0.855320	494.991	178
gamma	515	0.857810	487.888	320
gamma	516	0.860595	479.885	237
gamma	517	0.862655	473.925	175
gamma	518	0.864600	468.267	214
gamma	519	0.866570	462.506	180
gamma	520	0.868365	457.229	179
gamma	521	0.870125	452.030	173
gamma	522	0.871890	446.791	180
gamma	523	0.874050	440.346	252
gamma	524	0.876985	431.529	335
gamma	525	0.880615	420.529	391
gamma	526	0.883680	411.159	222
gamma	527	0.885865	404.433	215
gamma	528	0.887825	398.367	177
gamma	529	0.889605	392.832	179
gamma	530	0.891915	385.611	283
gamma	531	0.894000	379.056	134
gamma	532	0.896015	372.688	269
gamma	533	0.897960	366.511	120
gamma	534	0.899790	360.672	246
gamma	535	0.901830	354.131	162
gamma	536	0.903520	348.686	176
gamma	537	0.905845	341.159	289
gamma	538	0.908735	331.743	289
gamma	539	0.911575	322.424	279
gamma	540	0.913635	315.624	133
gamma	541	0.914745	311.946	89
gamma	542	0.915895	308.125	141
gamma	543	0.917250	303.610	130
gamma	544	0.918575	299.180	135
gamma	545	0.919790	295.105	108
gamma	546	0.920830	291.608	100
gamma	547	0.921930	287.900	120
gamma	548	0.923245	283.455	143
gamma	549	0.924420	279.471	92
gamma	550	0.925405	276.122	105
gamma	551	0.926375	272.817	89
gamma	552	0.927255	269.813	87
gamma	553	0.928700	264.865	202
gamma	554	0.930180	259.781	94
gamma	555	0.931555	255.041	181
gamma	556	0.933080	249.767	124
gamma	557	0.934300	245.534	120
gamma	558	0.935485	241.411	117
gamma	559	0.936665	237.295	119
gamma	560	0.938005	232.606	149
gamma	561	0.939530	227.254	156
gamma	562	0.940890	222.464	116
gamma	563	0.941955	218.703	97
gamma	564	0.942995	215.022	111
gamma	565	0.944140	210.959	118
gamma	566	0.945210	207.152	96
gamma	567	0.946230	203.515	108
gamma	568	0.947165	200.174	79
gamma	569	0.948240	196.324	136
gamma	570	0.949610	191.403	138
gamma	571	0.950750	187.298	90
gamma	572	0.951635	184.103	87
gamma	573	0.952615	180.559	109
gamma	574	0.953685	176.680	105
gamma	575	0.954620	173.283	82
gamma	576	0.955430	170.334	80
gamma	577	0.956240	167.380	82
gamma	578	0.957235	163.745	117
gamma	579	0.958530	159.001	142
gamma	580	0.959730	154.593	98
gamma	581	0.960540	151.612	64
gamma	582	0.961505	148.053	129
gamma	583	0.962510	144.338	72
gamma	584	0.963350	141.227	96
gamma	585	0.964245	137.906	83
gamma	586	0.965190	134.393	106
gamma	587	0.966140	130.854	84
gamma	588	0.966920	127.943	72
gamma	589	0.967635	125.270	71
gamma	590	0.968195	123.174	41
gamma	591	0.968580	121.731	36
gamma	592	0.969125	119.687	73
gamma	593	0.969935	116.644	89
gamma	594	0.970780	113.465	80
gamma	595	0.971580	110.449	80
gamma	596	0.972315	107.674	67
gamma	597	0.972855	105.633	41
gamma	598	0.973255	104.119	39
gamma	599	0.973625	102.717	35
gamma	600	0.974190	100.575	78
gamma	601	0.974720	98.564	28
gamma	602	0.975015	97.443	31
gamma	603	0.975330	96.246	32
gamma	604	0.975710	94.800	44
gamma	605	0.976170	93.049	48
gamma	606	0.976660	91.181	50
gamma	607	0.977115	89.445	41
gamma	608	0.977525	87.879	41
gamma	609	0.977965	86.198	47
gamma	610	0.978330	84.802	26
gamma	611	0.978630	83.653	34
gamma	612	0.978940	82.466	28
gamma	613	0.979235	81.335	31
gamma	614	0.979575	80.031	37
gamma	615	0.979940	78.630	36
gamma	616	0.980260	77.401	28
gamma	617	0.980625	75.998	45
gamma	618	0.981090	74.210	48
gamma	619	0.981505	72.612	35
gamma	620	0.981955	70.878	55
gamma	621	0.982460	68.929	46
gamma	622	0.982885	67.288	39
gamma	623	0.983295	65.704	43
gamma	624	0.983715	64.079	41
gamma	625	0.984125	62.492	41
gamma	626	0.984585	60.710	51
gamma	627	0.985030	58.984	38
gamma	628	0.985415	57.489	39
gamma	629	0.985735	56.246	25
gamma	630	0.986100	54.827	48
gamma	631	0.986510	53.232	34
gamma	632	0.986885	51.772	41
gamma	633	0.987140	50.778	10
gamma	634	0.987375	49.862	37
gamma	635	0.987695	48.614	27
gamma	636	0.988005	47.404	35
gamma	637	0.988365	45.999	37
gamma	638	0.988710	44.650	32
gamma	639	0.989040	43.360	34
gamma	640	0.989290	42.381	16
gamma	641	0.989545	41.383	35
gamma	642	0.989755	40.560	7
gamma	643	0.989900	39.992	22
gamma	644	0.990115	39.149	21
gamma	645	0.990300	38.424	16
gamma	646	0.990485	37.698	21
gamma	647	0.990685	36.913	19
gamma	648	0.990850	36.265	14
gamma	649	0.990990	35.715	14
gamma	650	0.991105	35.264	9
gamma	651	0.991220	34.812	14
gamma	652	0.991340	34.340	10
gamma	653	0.991470	33.829	16
gamma	654	0.991645	33.141	19
gamma	655	0.991835	32.393	19
gamma	656	0.992035	31.606	21
gamma	657	0.992255	30.740	23
gamma	658	0.992435	30.031	13
gamma	659	0.992600	29.381	20
gamma	660	0.992815	28.534	23
gamma	661	0.992990	27.843	12
gamma	662	0.993110	27.370	12
gamma	663	0.993295	26.640	25
gamma	664	0.993425	26.127	1
gamma	665	0.993520	25.752	18
gamma	666	0.993710	25.002	20
gamma	667	0.993855	24.429	9
gamma	668	0.993970	23.975	14
gamma	669	0.994135	23.322	19
gamma	670	0.994275	22.769	9
gamma	671	0.994385	22.334	13
gamma	672	0.994530	21.760	16
gamma	673	0.994680	21.167	14
gamma	674	0.994830	20.573	16
gamma	675	0.994950	20.098	8
gamma	676	0.995020	19.821	6
gamma	677	0.995110	19.464	12
gamma	678	0.995190	19.147	4
gamma	679	0.995285	18.771	15
gamma	680	0.995385	18.375	5
gamma	681	0.995465	18.058	11
gamma	682	0.995595	17.542	15
gamma	683	0.995730	17.007	12
gamma	684	0.995845	16.551	11
gamma	685	0.995935	16.194	7
gamma	686	0.996015	15.876	9
gamma	687	0.996100	15.539	8
gamma	688	0.996205	15.122	13
gamma	689	0.996290	14.785	4
gamma	690	0.996370	14.467	12
gamma	691	0.996465	14.090	7
gamma	692	0.996540	13.792	8
gamma	693	0.996630	13.435	10
gamma	694	0.996715	13.097	7
gamma	695	0.996770	12.878	4
gamma	696	0.996850	12.560	12
gamma	697	0.996960	12.123	10
gamma	698	0.997030	11.845	4
gamma	699	0.997095	11.586	9
gamma	700	0.997160	11.328	4
gamma	701	0.997210	11.129	6
gamma	702	0.997275	10.870	7
gamma	703	0.997335	10.632	5
gamma	704	0.997375	10.472	3
gamma	705	0.997400	10.373	2
gamma	706	0.997435	10.234	5
gamma	707	0.997470	10.094	2
gamma	708	0.997510	9.935	6
gamma	709	0.997560	9.736	4
gamma	710	0.997600	9.577	4
gamma	711	0.997655	9.358	7
gamma	712	0.997715	9.119	5
gamma	713	0.997775	8.880	7
gamma	714	0.997835	8.641	5
gamma	715	0.997880	8.462	4
gamma	716	0.997915	8.323	3
gamma	717	0.997955	8.163	5
gamma	718	0.997995	8.004	3
gamma	719	0.998040	7.825	6
gamma	720	0.998090	7.625	4
gamma	721	0.998140	7.426	6
gamma	722	0.998175	7.287	1
gamma	723	0.998195	7.207	3
gamma	724	0.998230	7.067	4
gamma	725	0.998265	6.928	3
gamma	726	0.998295	6.808	3
gamma	727	0.998320	6.709	2
gamma	728	0.998350	6.589	4
gamma	729	0.998380	6.470	2
gamma	730	0.998415	6.330	5
gamma	731	0.998465	6.131	5
gamma	732	0.998505	5.971	3
gamma	733	0.998530	5.871	2
gamma	734	0.998560	5.752	4
gamma	735	0.998595	5.612	3
gamma	736	0.998615	5.532	1
gamma	737	0.998635	5.453	3
gamma	738	0.998665	5.333	3
gamma	739	0.998695	5.213	3
gamma	740	0.998725	5.093	3
gamma	741	0.998760	4.954	4
gamma	742	0.998795	4.814	3
gamma	743	0.998815	4.734	1
gamma	744	0.998830	4.675	2
gamma	745	0.998850	4.595	2
gamma	746	0.998875	4.495	3
gamma	747	0.998900	4.395	2
gamma	748	0.998925	4.295	3
gamma	749	0.998950	4.196	2
gamma	750	0.998970	4.116	2
gamma	751	0.998985	4.056	1
gamma	752	0.999005	3.976	3
gamma	753	0.999025	3.896	1
gamma	754	0.999045	3.816	3
gamma	755	0.999075	3.697	3
gamma	756	0.999100	3.597	2
gamma	757	0.999120	3.517	2
gamma	758	0.999145	3.417	3
gamma	759	0.999170	3.317	2
gamma	760	0.999190	3.237	2
gamma	761	0.999205	3.177	1
gamma	762	0.999220	3.118	2
gamma	763	0.999240	3.038	2
gamma	764	0.999260	2.958	2
gamma	765	0.999275	2.898	1
gamma	766	0.999285	2.858	1
gamma	767	0.999295	2.818	1
gamma	768	0.999305	2.778	1
gamma	769	0.999320	2.718	2
gamma	770	0.999335	2.658	1
gamma	771	0.999345	2.618	1
gamma	772	0.999360	2.558	2
gamma	773	0.999380	2.478	2
gamma	774	0.999400	2.399	2
gamma	775	0.999420	2.319	2
gamma	776	0.999435	2.259	1
gamma	777	0.999445	2.219	1
gamma	778	0.999455	2.179	1
gamma	779	0.999465	2.139	1
gamma	780	0.999475	2.099	1
gamma	781	0.999485	2.059	1
gamma	782	0.999495	2.019	1
gamma	783	0.999505	1.979	1
gamma	784	0.999515	1.939	1
gamma	785	0.999525	1.899	1
gamma	786	0.999535	1.859	1
gamma	787	0.999545	1.819	1
gamma	788	0.999555	1.779	1
gamma	789	0.999565	1.739	1
gamma	790	0.999575	1.699	1
gamma	791	0.999585	1.659	1
gamma	792	0.999595	1.619	1
gamma	793	0.999605	1.579	1
gamma	794	0.999615	1.539	1
gamma	795	0.999625	1.499	1
gamma	796	0.999635	1.459	1
gamma	797	0.999645	1.419	1
gamma	798	0.999655	1.380	1
gamma	799	0.999665	1.340	1
gamma	800	0.999675	1.300	1
gamma	801	0.999685	1.260	1
gamma	802	0.999695	1.220	1
gamma	803	0.999705	1.180	1
gamma	804	0.999715	1.140	1
gamma	805	0.999725	1.100	1
gamma	806	0.999735	1.060	1
gamma	807	0.999745	1.020	1
gamma	808	0.999755	0.980	1
gamma	809	0.999765	0.940	1
gamma	810	0.999775	0.900	1
gamma	811	0.999785	0.860	1
gamma	812	0.999795	0.820	1
gamma	813	0.999805	0.780	1
gamma	814	0.999815	0.740	1
gamma	815	0.999825	0.700	1
gamma	816	0.999835	0.660	1
gamma	817	0.999845	0.620	1
gamma	818	0.999855	0.580	1
gamma	819	0.999865	0.540	1
gamma	820	0.999875	0.500	1
gamma	821	0.999885	0.460	1
