dist	tag	x	Q	error
gamma	quantile	2.6502358	0.90000000	-0.00012000
gamma	cdf	15.631260	0.99000000	0.00000239
gamma	quantile	15.631260	0.99000000	0.00001000
gamma	cdf	34.321370	0.99900000	0.00000549
gamma	quantile	34.321370	0.99900000	0.00000000
gamma	cdf	5.4852295e-30	0.00100000	0.00000160
gamma	quantile	5.4852295e-30	0.00100000	-0.00001000
gamma	cdf	1.1284266e-19	0.01000000	-0.00000289
gamma	quantile	1.1284266e-19	0.01000000	0.00009000
gamma	cdf	7.6852741e-10	0.10000000	-0.00008217
gamma	quantile	7.6852741e-10	0.10000000	0.00005000
gamma	cdf	0.0058807930	0.50000000	-0.00065530
gamma	quantile	0.0058807930	0.50000000	-0.00104000
gamma	cdf	2.6772578	0.90000000	-0.00013350
gamma	quantile	2.6772578	0.90000000	-0.00037000
gamma	cdf	15.798581	0.99000000	-0.00001003
gamma	quantile	15.798581	0.99000000	-0.00002000
gamma	cdf	33.176986	0.99900000	-0.00000151
gamma	quantile	33.176986	0.99900000	-0.00001000
uniform	cdf	0.00083275361	0.00100000	-0.00000310
uniform	quantile	0.00083275361	0.00100000	0.00000000
uniform	cdf	0.0099203520	0.01000000	-0.00000565
uniform	quantile	0.0099203520	0.01000000	0.00004000
uniform	cdf	0.10013996	0.10000000	0.00016860
uniform	quantile	0.10013996	0.10000000	-0.00016000
uniform	cdf	0.50077000	0.50000000	0.00000365
uniform	quantile	0.50077000	0.50000000	0.00005000
uniform	cdf	0.90121625	0.90000000	0.00006772
uniform	quantile	0.90121625	0.90000000	0.00000000
uniform	cdf	0.98980327	0.99000000	0.00002031
uniform	quantile	0.98980327	0.99000000	0.00001000
uniform	cdf	0.99903511	0.99900000	0.00000250
uniform	quantile	0.99903511	0.99900000	-0.00001000
uniform	cdf	0.0011257772	0.00100000	-0.00000232
uniform	quantile	0.0011257772	0.00100000	0.00002000
uniform	cdf	0.010079200	0.01000000	-0.00000010
uniform	quantile	0.010079200	0.01000000	-0.00005000
uniform	cdf	0.10039589	0.10000000	-0.00013041
uniform	quantile	0.10039589	0.10000000	-0.00015000
uniform	cdf	0.50314829	0.50000000	-0.00085820
uniform	quantile	0.50314829	0.50000000	0.00217000
uniform	cdf	0.90002754	0.90000000	0.00000244
uniform	quantile	0.90002754	0.90000000	-0.00028000
uniform	cdf	0.98996424	0.99000000	0.00002092
uniform	quantile	0.98996424	0.99000000	-0.00003000
uniform	cdf	0.99912366	0.99900000	-0.00000049
uniform	quantile	0.99912366	0.99900000	0.00000000
uniform	cdf	0.00094209094	0.00100000	0.00000638
uniform	quantile	0.00094209094	0.00100000	-0.00002000
uniform	cdf	0.0097600389	0.01000000	0.00003847
uniform	quantile	0.0097600389	0.01000000	-0.00009000
uniform	cdf	0.10040377	0.10000000	0.00003847
uniform	quantile	0.10040377	0.10000000	0.00037000
uniform	cdf	0.50086002	0.50000000	-0.00007138
uniform	quantile	0.50086002	0.50000000	-0.00078000
uniform	cdf	0.90041630	0.90000000	0.00015125
uniform	quantile	0.90041630	0.90000000	0.00044000
uniform	cdf	0.99014044	0.99000000	0.00000100
uniform	quantile	0.99014044	0.99000000	0.00004000
uniform	cdf	0.99912803	0.99900000	-0.00000221
uniform	quantile	0.99912803	0.99900000	0.00002000
uniform	cdf	0.0010370014	0.00100000	0.00000515
uniform	quantile	0.0010370014	0.00100000	-0.00001000
uniform	cdf	0.010563480	0.01000000	-0.00000535
uniform	quantile	0.010563480	0.01000000	0.00001000
uniform	cdf	0.10021365	0.10000000	0.00042942
uniform	quantile	0.10021365	0.10000000	0.00016000
uniform	cdf	0.50144279	0.50000000	0.00029652
uniform	quantile	0.50144279	0.50000000	0.00023000
uniform	cdf	0.90064958	0.90000000	-0.00003844
uniform	quantile	0.90064958	0.90000000	-0.00109000
uniform	cdf	0.99004486	0.99000000	0.00001870
uniform	quantile	0.99004486	0.99000000	-0.00002000
uniform	cdf	0.99904904	0.99900000	0.00000542
uniform	quantile	0.99904904	0.99900000	-0.00001000
uniform	cdf	0.00092181384	0.00100000	-0.00000115
uniform	quantile	0.00092181384	0.00100000	0.00001000
uniform	cdf	0.0089481758	0.01000000	-0.00000184
uniform	quantile	0.0089481758	0.01000000	-0.00001000
uniform	cdf	0.099108358	0.10000000	0.00011734
uniform	quantile	0.099108358	0.10000000	0.00006000
uniform	cdf	0.49751156	0.50000000	0.00046394
uniform	quantile	0.49751156	0.50000000	-0.00348000
uniform	cdf	0.89881342	0.90000000	0.00004072
uniform	quantile	0.89881342	0.90000000	0.00031000
uniform	cdf	0.98999024	0.99000000	-0.00003087
uniform	quantile	0.98999024	0.99000000	-0.00001000
uniform	cdf	0.99893257	0.99900000	-0.00000033
uniform	quantile	0.99893257	0.99900000	0.00000000
mixture	cdf	-0.99599023	0.00100000	-0.00000037
mixture	quantile	-0.99599023	0.00100000	0.00002000
mixture	cdf	-0.96096202	0.01000000	-0.00002340
mixture	quantile	-0.96096202	0.01000000	0.00005000
mixture	cdf	-0.59424148	0.10000000	0.00001575
mixture	quantile	-0.59424148	0.10000000	-0.00043000
mixture	cdf	-1.2596110e-05	0.30000000	-0.00053937
mixture	quantile	-1.2596110e-05	0.30000000	-0.00024000
mixture	cdf	1.1797940e-07	0.50000000	-0.00019261
mixture	quantile	1.1797940e-07	0.50000000	-0.00111000
mixture	cdf	1.3017625e-05	0.70000000	-0.00006774
mixture	quantile	1.3017625e-05	0.70000000	-0.00014000
mixture	cdf	0.60490157	0.90000000	-0.00008755
mixture	quantile	0.60490157	0.90000000	-0.00100000
mixture	cdf	0.96128478	0.99000000	-0.00001858
mixture	quantile	0.96128478	0.99000000	0.00000000
mixture	cdf	0.99671287	0.99900000	-0.00000085
mixture	quantile	0.99671287	0.99900000	-0.00001000
mixture	cdf	-0.99602811	0.00100000	-0.00000008
mixture	quantile	-0.99602811	0.00100000	0.00000000
mixture	cdf	-0.96044380	0.01000000	0.00003939
mixture	quantile	-0.96044380	0.01000000	0.00009000
mixture	cdf	-0.60441169	0.10000000	0.00017582
mixture	quantile	-0.60441169	0.10000000	-0.00020000
mixture	cdf	-1.2768232e-05	0.30000000	0.00022105
mixture	quantile	-1.2768232e-05	0.30000000	0.00019000
mixture	cdf	4.1022568e-08	0.50000000	0.00009532
mixture	quantile	4.1022568e-08	0.50000000	0.00003000
mixture	cdf	1.2906895e-05	0.70000000	-0.00024914
mixture	quantile	1.2906895e-05	0.70000000	0.00001000
mixture	cdf	0.59791934	0.90000000	0.00026580
mixture	quantile	0.59791934	0.90000000	-0.00088000
mixture	cdf	0.96101258	0.99000000	0.00004262
mixture	quantile	0.96101258	0.99000000	-0.00004000
mixture	cdf	0.99587135	0.99900000	-0.00000359
mixture	quantile	0.99587135	0.99900000	-0.00001000
mixture	cdf	-0.99648419	0.00100000	-0.00000553
mixture	quantile	-0.99648419	0.00100000	0.00000000
mixture	cdf	-0.96217338	0.01000000	-0.00001607
mixture	quantile	-0.96217338	0.01000000	0.00002000
mixture	cdf	-0.61255987	0.10000000	-0.00014669
mixture	quantile	-0.61255987	0.10000000	0.00002000
mixture	cdf	-1.3124715e-05	0.30000000	-0.00039346
mixture	quantile	-1.3124715e-05	0.30000000	0.00008000
mixture	cdf	-5.3780464e-08	0.50000000	0.00013713
mixture	quantile	-5.3780464e-08	0.50000000	0.00270000
mixture	cdf	1.2586000e-05	0.70000000	0.00009208
mixture	quantile	1.2586000e-05	0.70000000	-0.00199000
mixture	cdf	0.58672305	0.90000000	0.00003821
mixture	quantile	0.58672305	0.90000000	0.00002000
mixture	cdf	0.95831456	0.99000000	0.00002833
mixture	quantile	0.95831456	0.99000000	-0.00010000
mixture	cdf	0.99551245	0.99900000	0.00000000
mixture	quantile	0.99551245	0.99900000	0.00000000
mixture	cdf	-0.99576411	0.00100000	-0.00000155
mixture	quantile	-0.99576411	0.00100000	0.00001000
mixture	cdf	-0.95887647	0.01000000	-0.00000234
mixture	quantile	-0.95887647	0.01000000	0.00005000
mixture	cdf	-0.60117432	0.10000000	0.00012526
mixture	quantile	-0.60117432	0.10000000	-0.00013000
mixture	cdf	-1.2824727e-05	0.30000000	0.00057090
mixture	quantile	-1.2824727e-05	0.30000000	-0.00102000
mixture	cdf	-1.0742195e-07	0.50000000	0.00002838
mixture	quantile	-1.0742195e-07	0.50000000	-0.00014000
mixture	cdf	1.2860350e-05	0.70000000	0.00061672
mixture	quantile	1.2860350e-05	0.70000000	-0.00036000
mixture	cdf	0.59934072	0.90000000	-0.00000976
mixture	quantile	0.59934072	0.90000000	0.00041000
mixture	cdf	0.95935026	0.99000000	-0.00002178
mixture	quantile	0.95935026	0.99000000	-0.00001000
mixture	cdf	0.99581558	0.99900000	0.00000589
mixture	quantile	0.99581558	0.99900000	0.00000000
mixture	cdf	-0.99613985	0.00100000	0.00000222
mixture	quantile	-0.99613985	0.00100000	-0.00001000
mixture	cdf	-0.95950737	0.01000000	-0.00001445
mixture	quantile	-0.95950737	0.01000000	-0.00001000
mixture	cdf	-0.60302343	0.10000000	-0.00002186
mixture	quantile	-0.60302343	0.10000000	-0.00055000
mixture	cdf	-1.2869726e-05	0.30000000	0.00016979
mixture	quantile	-1.2869726e-05	0.30000000	-0.00210000
mixture	cdf	-7.4126275e-09	0.50000000	-0.00008582
mixture	quantile	-7.4126275e-09	0.50000000	0.00300000
mixture	cdf	1.2782847e-05	0.70000000	-0.00016377
mixture	quantile	1.2782847e-05	0.70000000	-0.00003000
mixture	cdf	0.59739089	0.90000000	0.00009422
mixture	quantile	0.59739089	0.90000000	-0.00050000
mixture	cdf	0.96067577	0.99000000	0.00000715
mixture	quantile	0.96067577	0.99000000	-0.00007000
mixture	cdf	0.99623664	0.99900000	-0.00000136
mixture	quantile	0.99623664	0.99900000	0.00004000
sequential	cdf	0.0031573006	0.00100000	0.00000000
sequential	quantile	0.0031573006	0.00100000	-0.00000500
sequential	cdf	0.031431634	0.01000000	0.00001903
sequential	quantile	0.031431634	0.01000000	-0.00001000
sequential	cdf	0.31417497	0.10000000	0.00006520
sequential	quantile	0.31417497	0.10000000	-0.00015000
sequential	cdf	1.5708120	0.50000000	-0.00007471
sequential	quantile	1.5708120	0.50000000	-0.00151000
sequential	cdf	2.8274491	0.90000000	0.00016713
sequential	quantile	2.8274491	0.90000000	-0.00004000
sequential	cdf	3.1101924	0.99000000	0.00000607
sequential	quantile	3.1101924	0.99000000	-0.00001000
sequential	cdf	3.1384668	0.99900000	0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	-0.00000111
sequential	quantile	0.0031573006	0.00100000	-0.00001000
sequential	cdf	0.031431634	0.01000000	-0.00001453
sequential	quantile	0.031431634	0.01000000	-0.00001000
sequential	cdf	0.31417497	0.10000000	-0.00004413
sequential	quantile	0.31417497	0.10000000	-0.00082000
sequential	cdf	1.5708120	0.50000000	-0.00014663
sequential	quantile	1.5708120	0.50000000	0.00296000
sequential	cdf	2.8274491	0.90000000	0.00005018
sequential	quantile	2.8274491	0.90000000	-0.00021000
sequential	cdf	3.1101924	0.99000000	0.00000333
sequential	quantile	3.1101924	0.99000000	0.00000000
sequential	cdf	3.1384668	0.99900000	0.00000000
sequential	quantile	3.1384668	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	0.00000000
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	-0.00003005
sequential	quantile	0.031431634	0.01000000	0.00008000
sequential	cdf	0.31417497	0.10000000	-0.00017985
sequential	quantile	0.31417497	0.10000000	0.00000000
sequential	cdf	1.5708120	0.50000000	0.00011102
sequential	quantile	1.5708120	0.50000000	-0.00019000
sequential	cdf	2.8274491	0.90000000	-0.00003735
sequential	quantile	2.8274491	0.90000000	-0.00009000
sequential	cdf	3.1101924	0.99000000	-0.00000163
sequential	quantile	3.1101924	0.99000000	0.00000000
sequential	cdf	3.1384668	0.99900000	-0.00000111
sequential	quantile	3.1384668	0.99900000	-0.00001000
sequential	cdf	0.0031573006	0.00100000	0.00000000
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000902
sequential	quantile	0.031431634	0.01000000	0.00001000
sequential	cdf	0.31417497	0.10000000	0.00022398
sequential	quantile	0.31417497	0.10000000	0.00092000
sequential	cdf	1.5708120	0.50000000	0.00027986
sequential	quantile	1.5708120	0.50000000	0.00013000
sequential	cdf	2.8274491	0.90000000	-0.00001235
sequential	quantile	2.8274491	0.90000000	0.00001000
sequential	cdf	3.1101924	0.99000000	0.00001000
sequential	quantile	3.1101924	0.99000000	0.00001000
sequential	cdf	3.1384668	0.99900000	0.00000111
sequential	quantile	3.1384668	0.99900000	-0.00001500
sequential	cdf	0.0031573006	0.00100000	-0.00000222
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	-0.00003402
sequential	quantile	0.031431634	0.01000000	0.00013000
sequential	cdf	0.31417497	0.10000000	-0.00002711
sequential	quantile	0.31417497	0.10000000	-0.00006000
sequential	cdf	1.5708120	0.50000000	0.00000120
sequential	quantile	1.5708120	0.50000000	-0.00203000
sequential	cdf	2.8274491	0.90000000	0.00006714
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00000024
sequential	quantile	3.1101924	0.99000000	0.00000000
sequential	cdf	3.1384668	0.99900000	-0.00000143
sequential	quantile	3.1384668	0.99900000	-0.00000500
